epoch,loss,pearson_metric,val_loss,val_pearson_metric
0,-0.14857536554336548,0.14857536554336548,-0.13138194382190704,0.13138194382190704
1,-0.15879563987255096,0.15879563987255096,-0.15454058349132538,0.15454058349132538
2,-0.16546876728534698,0.16546876728534698,-0.15985830128192902,0.15985830128192902
3,-0.16910898685455322,0.16910898685455322,-0.1543457806110382,0.1543457806110382
4,-0.17084093391895294,0.17084093391895294,-0.1637078821659088,0.1637078821659088
5,-0.17293202877044678,0.17293202877044678,-0.16430917382240295,0.16430917382240295
6,-0.17421036958694458,0.17421036958694458,-0.1651749461889267,0.1651749461889267
7,-0.1749790757894516,0.1749790757894516,-0.15665970742702484,0.15665970742702484
8,-0.17582431435585022,0.17582431435585022,-0.16121535003185272,0.16121535003185272
9,-0.17647738754749298,0.17647738754749298,-0.16792747378349304,0.16792747378349304
10,-0.17721520364284515,0.17721520364284515,-0.16806355118751526,0.16806355118751526
11,-0.17793570458889008,0.17793570458889008,-0.16705913841724396,0.16705913841724396
12,-0.17860254645347595,0.17860254645347595,-0.16679257154464722,0.16679257154464722
13,-0.17963390052318573,0.17963390052318573,-0.16366063058376312,0.16366063058376312
14,-0.1798052340745926,0.1798052340745926,-0.17168335616588593,0.17168335616588593
15,-0.18097378313541412,0.18097378313541412,-0.16977886855602264,0.16977886855602264
16,-0.1812921166419983,0.1812921166419983,-0.17025238275527954,0.17025238275527954
17,-0.18242618441581726,0.18242618441581726,-0.17027349770069122,0.17027349770069122
18,-0.18259090185165405,0.18259090185165405,-0.1686859279870987,0.1686859279870987
19,-0.18312546610832214,0.18312546610832214,-0.17222419381141663,0.17222419381141663
20,-0.1841314435005188,0.1841314435005188,-0.17104500532150269,0.17104500532150269
21,-0.18433378636837006,0.18433378636837006,-0.1731792837381363,0.1731792837381363
22,-0.18524859845638275,0.18524859845638275,-0.17265793681144714,0.17265793681144714
23,-0.1855468600988388,0.1855468600988388,-0.17098000645637512,0.17098000645637512
24,-0.18607527017593384,0.18607527017593384,-0.1772628277540207,0.1772628277540207
25,-0.1869029998779297,0.1869029998779297,-0.17587745189666748,0.17587745189666748
26,-0.18732579052448273,0.18732579052448273,-0.17464804649353027,0.17464804649353027
27,-0.18764431774616241,0.18764431774616241,-0.16680224239826202,0.16680224239826202
28,-0.1883518099784851,0.1883518099784851,-0.17687030136585236,0.17687030136585236
29,-0.18816570937633514,0.18816570937633514,-0.17496727406978607,0.17496727406978607
30,-0.19136887788772583,0.19136887788772583,-0.17956262826919556,0.17956262826919556
31,-0.19245032966136932,0.19245032966136932,-0.18041494488716125,0.18041494488716125
32,-0.1927596926689148,0.1927596926689148,-0.18029756844043732,0.18029756844043732
33,-0.19341036677360535,0.19341036677360535,-0.17963463068008423,0.17963463068008423
34,-0.19323088228702545,0.19323088228702545,-0.1805163025856018,0.1805163025856018
35,-0.19371436536312103,0.19371436536312103,-0.18066276609897614,0.18066276609897614
36,-0.19384901225566864,0.19384901225566864,-0.17755822837352753,0.17755822837352753
37,-0.19406045973300934,0.19406045973300934,-0.18214114010334015,0.18214114010334015
38,-0.19424135982990265,0.19424135982990265,-0.18148957192897797,0.18148957192897797
39,-0.1946544051170349,0.1946544051170349,-0.18332502245903015,0.18332502245903015
40,-0.19496560096740723,0.19496560096740723,-0.1765223741531372,0.1765223741531372
41,-0.19523395597934723,0.19523395597934723,-0.18197359144687653,0.18197359144687653
42,-0.1952534168958664,0.1952534168958664,-0.18146149814128876,0.18146149814128876
43,-0.1956038624048233,0.1956038624048233,-0.1831291764974594,0.1831291764974594
44,-0.1956203281879425,0.1956203281879425,-0.18346376717090607,0.18346376717090607
45,-0.19585485756397247,0.19585485756397247,-0.18034322559833527,0.18034322559833527
